date,description,debit,credit,balance
2024-01-03_v2,Salary Credit_v2,372,54718,55814
2024-01-05_v2,Grocery Store_v2,3431,909,51405
2024-01-08_v2,Restaurant Dinner_v2,922,73,50294
2024-01-10_v2,Uber Ride_v2,1631,75,48114
2024-01-15_v2,Shopping Mall_v2,6645,-885,43839
2024-01-20_v2,Electricity Bill_v2,2437,947,39837
2024-01-25_v2,Freelance Payment_v2,439,17195,59575
2024-01-28_v2,Movie Tickets_v2,1514,103,57932
2024-02-03_v2,Salary Credit_v2,-24,54898,113157
2024-02-06_v2,Grocery Store_v2,2698,302,108246
2024-02-09_v2,Online Shopping_v2,9484,-739,99747
2024-02-12_v2,Flight Booking_v2,14048,157,85856
2024-02-18_v2,Restaurant Dinner_v2,1734,-278,83539
2024-02-22_v2,Internet Bill_v2,219,-643,81429
2024-02-26_v2,Freelance Payment_v2,119,20373,102274
2024-03-03_v2,Salary Credit_v2,937,54140,157778
2024-03-05_v2,Grocery Store_v2,3669,-780,153608
2024-03-08_v2,Shopping Mall_v2,13264,-610,141582
2024-03-11_v2,Taxi Ride_v2,2129,649,139824
2024-03-15_v2,Restaurant Dinner_v2,1509,-956,136972
2024-03-20_v2,Mobile Bill_v2,649,-483,136482
2024-03-27_v2,Freelance Payment_v2,-580,21912,157303
2024-04-03_v2,Salary Credit_v2,-246,60733,217952
2024-04-05_v2,Grocery Store_v2,4035,844,214913
2024-04-09_v2,Online Shopping_v2,9600,912,205071
2024-04-12_v2,Train Ticket_v2,3311,-170,202491
2024-04-16_v2,Restaurant Dinner_v2,3063,-590,198603
2024-04-20_v2,Electricity Bill_v2,2319,363,196915
2024-04-25_v2,Freelance Payment_v2,882,25895,220655
2024-05-03_v2,Salary Credit_v2,60,59613,281226
2024-05-06_v2,Grocery Store_v2,4732,-847,276883
2024-05-09_v2,Shopping Mall_v2,13558,149,262513
2024-05-13_v2,Taxi Ride_v2,119,-452,262478
2024-05-18_v2,Restaurant Dinner_v2,3108,679,259173
2024-05-22_v2,Internet Bill_v2,792,-275,258590
2024-05-28_v2,Freelance Payment_v2,404,29274,288896
2024-01-03_v3,Salary Credit_v3,-236,55151,55392
2024-01-05_v3,Grocery Store_v3,4154,493,51706
2024-01-08_v3,Restaurant Dinner_v3,1434,-28,50288
2024-01-10_v3,Uber Ride_v3,1946,-106,48279
2024-01-15_v3,Shopping Mall_v3,6731,-469,43485
2024-01-20_v3,Electricity Bill_v3,2891,717,39995
2024-01-25_v3,Freelance Payment_v3,-25,17594,58622
2024-01-28_v3,Movie Tickets_v3,1847,-110,57236
2024-02-03_v3,Salary Credit_v3,524,55032,113377
2024-02-06_v3,Grocery Store_v3,2439,35,109124
2024-02-09_v3,Online Shopping_v3,8090,-63,99457
2024-02-12_v3,Flight Booking_v3,14609,-558,85572
2024-02-18_v3,Restaurant Dinner_v3,2993,-81,83367
2024-02-22_v3,Internet Bill_v3,1147,307,82226
2024-02-26_v3,Freelance Payment_v3,325,19698,102380
2024-03-03_v3,Salary Credit_v3,692,55651,156448
2024-03-05_v3,Grocery Store_v3,4415,-172,152845
2024-03-08_v3,Shopping Mall_v3,13100,-856,141423
2024-03-11_v3,Taxi Ride_v3,1313,-740,139463
2024-03-15_v3,Restaurant Dinner_v3,1837,327,136712
2024-03-20_v3,Mobile Bill_v3,1734,356,136000
2024-03-27_v3,Freelance Payment_v3,-908,22910,157680
2024-04-03_v3,Salary Credit_v3,627,59189,218773
2024-04-05_v3,Grocery Store_v3,3343,634,214839
2024-04-09_v3,Online Shopping_v3,8962,22,204217
2024-04-12_v3,Train Ticket_v3,2734,-209,200819
2024-04-16_v3,Restaurant Dinner_v3,3310,-895,199764
2024-04-20_v3,Electricity Bill_v3,1582,427,196458
2024-04-25_v3,Freelance Payment_v3,470,24865,222389
2024-05-03_v3,Salary Credit_v3,261,60823,282425
2024-05-06_v3,Grocery Store_v3,3957,-919,277655
2024-05-09_v3,Shopping Mall_v3,15122,753,262636
2024-05-13_v3,Taxi Ride_v3,2079,225,261778
2024-05-18_v3,Restaurant Dinner_v3,1957,-813,259214
2024-05-22_v3,Internet Bill_v3,1846,-104,257500
2024-05-28_v3,Freelance Payment_v3,760,29008,287465
2024-01-03_v4,Salary Credit_v4,571,55886,55016
2024-01-05_v4,Grocery Store_v4,2506,252,51986
2024-01-08_v4,Restaurant Dinner_v4,2076,890,50302
2024-01-10_v4,Uber Ride_v4,1576,-605,49949
2024-01-15_v4,Shopping Mall_v4,6106,655,43130
2024-01-20_v4,Electricity Bill_v4,2855,813,41692
2024-01-25_v4,Freelance Payment_v4,278,18301,59440
2024-01-28_v4,Movie Tickets_v4,370,-973,57446
2024-02-03_v4,Salary Credit_v4,-701,54380,112386
2024-02-06_v4,Grocery Store_v4,4099,-21,108585
2024-02-09_v4,Online Shopping_v4,8454,737,100965
2024-02-12_v4,Flight Booking_v4,14783,41,85925
2024-02-18_v4,Restaurant Dinner_v4,2317,-64,83237
2024-02-22_v4,Internet Bill_v4,1672,-409,81541
2024-02-26_v4,Freelance Payment_v4,4,19495,103298
2024-03-03_v4,Salary Credit_v4,-611,55802,157326
2024-03-05_v4,Grocery Store_v4,3250,-567,154269
2024-03-08_v4,Shopping Mall_v4,12947,-804,142215
2024-03-11_v4,Taxi Ride_v4,650,-258,140060
2024-03-15_v4,Restaurant Dinner_v4,1606,-731,136980
2024-03-20_v4,Mobile Bill_v4,1861,822,136264
2024-03-27_v4,Freelance Payment_v4,-278,21466,157676
2024-04-03_v4,Salary Credit_v4,473,60414,217284
2024-04-05_v4,Grocery Store_v4,3995,239,214601
2024-04-09_v4,Online Shopping_v4,10222,-467,204875
2024-04-12_v4,Train Ticket_v4,3754,242,201116
2024-04-16_v4,Restaurant Dinner_v4,2610,360,199594
2024-04-20_v4,Electricity Bill_v4,2818,169,196116
2024-04-25_v4,Freelance Payment_v4,9,25407,222134
2024-05-03_v4,Salary Credit_v4,-762,59933,281881
2024-05-06_v4,Grocery Store_v4,3523,606,277809
2024-05-09_v4,Shopping Mall_v4,14950,-431,264037
2024-05-13_v4,Taxi Ride_v4,897,-362,261966
2024-05-18_v4,Restaurant Dinner_v4,2047,565,259086
2024-05-22_v4,Internet Bill_v4,2105,-313,257241
2024-05-28_v4,Freelance Payment_v4,-680,29184,287370
2024-01-03_v5,Salary Credit_v5,-501,55102,55758
2024-01-05_v5,Grocery Store_v5,3696,393,52071
2024-01-08_v5,Restaurant Dinner_v5,1180,-617,49489
2024-01-10_v5,Uber Ride_v5,323,384,48445
2024-01-15_v5,Shopping Mall_v5,5447,38,43602
2024-01-20_v5,Electricity Bill_v5,3073,93,40533
2024-01-25_v5,Freelance Payment_v5,911,18905,59113
2024-01-28_v5,Movie Tickets_v5,1724,168,58177
2024-02-03_v5,Salary Credit_v5,713,54254,112599
2024-02-06_v5,Grocery Store_v5,2731,499,108250
2024-02-09_v5,Online Shopping_v5,8715,-995,100447
2024-02-12_v5,Flight Booking_v5,13644,-8,85462
2024-02-18_v5,Restaurant Dinner_v5,1366,-287,82842
2024-02-22_v5,Internet Bill_v5,630,-480,83302
2024-02-26_v5,Freelance Payment_v5,527,20138,102214
2024-03-03_v5,Salary Credit_v5,-941,55806,157337
2024-03-05_v5,Grocery Store_v5,3455,-882,153650
2024-03-08_v5,Shopping Mall_v5,13152,996,141130
2024-03-11_v5,Taxi Ride_v5,2144,883,140097
2024-03-15_v5,Restaurant Dinner_v5,2037,-63,136931
2024-03-20_v5,Mobile Bill_v5,2038,-745,136719
2024-03-27_v5,Freelance Payment_v5,-234,21605,157267
2024-04-03_v5,Salary Credit_v5,-417,59559,217804
2024-04-05_v5,Grocery Store_v5,4929,-927,213044
2024-04-09_v5,Online Shopping_v5,9633,-832,204208
2024-04-12_v5,Train Ticket_v5,2066,-758,202127
2024-04-16_v5,Restaurant Dinner_v5,2167,12,198000
2024-04-20_v5,Electricity Bill_v5,1354,612,197310
2024-04-25_v5,Freelance Payment_v5,676,25889,222329
2024-05-03_v5,Salary Credit_v5,631,60361,280993
2024-05-06_v5,Grocery Store_v5,3416,-38,277189
2024-05-09_v5,Shopping Mall_v5,15184,-250,263256
2024-05-13_v5,Taxi Ride_v5,1603,-234,261374
2024-05-18_v5,Restaurant Dinner_v5,3794,378,259524
2024-05-22_v5,Internet Bill_v5,2090,-300,258070
2024-05-28_v5,Freelance Payment_v5,738,30750,288228
2024-01-03_v6,Salary Credit_v6,-140,55449,54131
2024-01-05_v6,Grocery Store_v6,3127,-566,52218
2024-01-08_v6,Restaurant Dinner_v6,2577,270,50321
2024-01-10_v6,Uber Ride_v6,174,-249,49186
2024-01-15_v6,Shopping Mall_v6,5367,-698,43793
2024-01-20_v6,Electricity Bill_v6,2423,258,39964
2024-01-25_v6,Freelance Payment_v6,709,18234,58562
2024-01-28_v6,Movie Tickets_v6,837,401,57477
2024-02-03_v6,Salary Credit_v6,-867,55076,113448
2024-02-06_v6,Grocery Store_v6,4199,248,108315
2024-02-09_v6,Online Shopping_v6,9659,737,100921
2024-02-12_v6,Flight Booking_v6,14786,384,86126
2024-02-18_v6,Restaurant Dinner_v6,1529,-422,84146
2024-02-22_v6,Internet Bill_v6,539,-551,82965
2024-02-26_v6,Freelance Payment_v6,-856,20402,102263
2024-03-03_v6,Salary Credit_v6,-340,55894,156839
2024-03-05_v6,Grocery Store_v6,4337,-343,152889
2024-03-08_v6,Shopping Mall_v6,12536,-975,142239
2024-03-11_v6,Taxi Ride_v6,1054,-965,140741
2024-03-15_v6,Restaurant Dinner_v6,3447,-207,137196
2024-03-20_v6,Mobile Bill_v6,1476,122,136826
2024-03-27_v6,Freelance Payment_v6,-253,22474,158188
2024-04-03_v6,Salary Credit_v6,-30,59746,218987
2024-04-05_v6,Grocery Store_v6,3259,-864,214645
2024-04-09_v6,Online Shopping_v6,9188,-294,204380
2024-04-12_v6,Train Ticket_v6,1910,-947,202475
2024-04-16_v6,Restaurant Dinner_v6,2093,938,199526
2024-04-20_v6,Electricity Bill_v6,1576,402,196899
2024-04-25_v6,Freelance Payment_v6,-897,25273,221924
2024-05-03_v6,Salary Credit_v6,-756,59038,281179
2024-05-06_v6,Grocery Store_v6,4842,29,277058
2024-05-09_v6,Shopping Mall_v6,13589,-584,263227
2024-05-13_v6,Taxi Ride_v6,877,365,262352
2024-05-18_v6,Restaurant Dinner_v6,2433,-409,259199
2024-05-22_v6,Internet Bill_v6,1452,-862,257723
2024-05-28_v6,Freelance Payment_v6,-627,29314,288766
2024-01-03_v7,Salary Credit_v7,185,55864,55227
2024-01-05_v7,Grocery Store_v7,3859,246,50805
2024-01-08_v7,Restaurant Dinner_v7,1669,-167,49225
2024-01-10_v7,Uber Ride_v7,635,65,49914
2024-01-15_v7,Shopping Mall_v7,6538,832,43266
2024-01-20_v7,Electricity Bill_v7,3082,-146,40311
2024-01-25_v7,Freelance Payment_v7,241,18469,59430
2024-01-28_v7,Movie Tickets_v7,817,-98,58207
2024-02-03_v7,Salary Credit_v7,285,55444,111579
2024-02-06_v7,Grocery Store_v7,2451,-731,109224
2024-02-09_v7,Online Shopping_v7,8583,453,100238
2024-02-12_v7,Flight Booking_v7,15304,666,86147
2024-02-18_v7,Restaurant Dinner_v7,2445,-298,83368
2024-02-22_v7,Internet Bill_v7,1032,410,81578
2024-02-26_v7,Freelance Payment_v7,-101,20027,102076
2024-03-03_v7,Salary Credit_v7,349,54222,156883
2024-03-05_v7,Grocery Store_v7,3489,802,153745
2024-03-08_v7,Shopping Mall_v7,12175,-41,141892
2024-03-11_v7,Taxi Ride_v7,932,-849,139128
2024-03-15_v7,Restaurant Dinner_v7,2690,396,137763
2024-03-20_v7,Mobile Bill_v7,1749,491,136051
2024-03-27_v7,Freelance Payment_v7,410,21144,158637
2024-04-03_v7,Salary Credit_v7,88,60406,218713
2024-04-05_v7,Grocery Store_v7,4921,358,214177
2024-04-09_v7,Online Shopping_v7,9573,-42,204902
2024-04-12_v7,Train Ticket_v7,2947,-838,200850
2024-04-16_v7,Restaurant Dinner_v7,3101,-105,199014
2024-04-20_v7,Electricity Bill_v7,1506,-332,197494
2024-04-25_v7,Freelance Payment_v7,21,24893,222144
2024-05-03_v7,Salary Credit_v7,100,60681,281057
2024-05-06_v7,Grocery Store_v7,3189,-35,277390
2024-05-09_v7,Shopping Mall_v7,13248,746,263650
2024-05-13_v7,Taxi Ride_v7,213,-38,261528
2024-05-18_v7,Restaurant Dinner_v7,3425,-968,259054
2024-05-22_v7,Internet Bill_v7,1476,395,257943
2024-05-28_v7,Freelance Payment_v7,586,29444,288123
2024-01-03_v8,Salary Credit_v8,-755,55949,55552
2024-01-05_v8,Grocery Store_v8,2253,-461,51314
2024-01-08_v8,Restaurant Dinner_v8,2298,-122,49072
2024-01-10_v8,Uber Ride_v8,346,418,48075
2024-01-15_v8,Shopping Mall_v8,7108,240,42842
2024-01-20_v8,Electricity Bill_v8,2164,-958,40443
2024-01-25_v8,Freelance Payment_v8,183,17811,59112
2024-01-28_v8,Movie Tickets_v8,416,60,56783
2024-02-03_v8,Salary Credit_v8,880,55328,112613
2024-02-06_v8,Grocery Store_v8,4262,-847,109150
2024-02-09_v8,Online Shopping_v8,9585,-180,99380
2024-02-12_v8,Flight Booking_v8,14500,370,86337
2024-02-18_v8,Restaurant Dinner_v8,1663,-189,83794
2024-02-22_v8,Internet Bill_v8,255,-660,81832
2024-02-26_v8,Freelance Payment_v8,876,20906,102808
2024-03-03_v8,Salary Credit_v8,889,55952,157943
2024-03-05_v8,Grocery Store_v8,4131,15,154118
2024-03-08_v8,Shopping Mall_v8,12777,668,141485
2024-03-11_v8,Taxi Ride_v8,1080,234,139213
2024-03-15_v8,Restaurant Dinner_v8,1710,882,138150
2024-03-20_v8,Mobile Bill_v8,2034,-307,136712
2024-03-27_v8,Freelance Payment_v8,-865,22533,158697
2024-04-03_v8,Salary Credit_v8,513,59565,217652
2024-04-05_v8,Grocery Store_v8,4338,-254,214615
2024-04-09_v8,Online Shopping_v8,9280,-135,205124
2024-04-12_v8,Train Ticket_v8,1826,-380,201316
2024-04-16_v8,Restaurant Dinner_v8,2285,600,198817
2024-04-20_v8,Electricity Bill_v8,2618,-697,196086
2024-04-25_v8,Freelance Payment_v8,-121,24208,221691
2024-05-03_v8,Salary Credit_v8,-945,59936,281206
2024-05-06_v8,Grocery Store_v8,3259,-439,278289
2024-05-09_v8,Shopping Mall_v8,13623,471,264012
2024-05-13_v8,Taxi Ride_v8,1831,-988,263194
2024-05-18_v8,Restaurant Dinner_v8,3383,402,258925
2024-05-22_v8,Internet Bill_v8,1133,578,259045
2024-05-28_v8,Freelance Payment_v8,323,30539,288108
2024-01-03_v9,Salary Credit_v9,-240,54669,54022
2024-01-05_v9,Grocery Store_v9,2683,-240,50849
2024-01-08_v9,Restaurant Dinner_v9,813,482,50178
2024-01-10_v9,Uber Ride_v9,362,-588,49800
2024-01-15_v9,Shopping Mall_v9,6434,-290,43473
2024-01-20_v9,Electricity Bill_v9,2399,-29,41658
2024-01-25_v9,Freelance Payment_v9,201,18366,58003
2024-01-28_v9,Movie Tickets_v9,831,-562,56841
2024-02-03_v9,Salary Credit_v9,619,55628,111814
2024-02-06_v9,Grocery Store_v9,3039,-990,108424
2024-02-09_v9,Online Shopping_v9,9126,-970,100848
2024-02-12_v9,Flight Booking_v9,14993,548,85048
2024-02-18_v9,Restaurant Dinner_v9,2039,-876,83433
2024-02-22_v9,Internet Bill_v9,788,634,81614
2024-02-26_v9,Freelance Payment_v9,-718,19592,102162
2024-03-03_v9,Salary Credit_v9,198,54857,158126
2024-03-05_v9,Grocery Store_v9,4263,189,153098
2024-03-08_v9,Shopping Mall_v9,13140,680,140442
2024-03-11_v9,Taxi Ride_v9,1091,585,139909
2024-03-15_v9,Restaurant Dinner_v9,1909,109,136628
2024-03-20_v9,Mobile Bill_v9,1128,451,136373
2024-03-27_v9,Freelance Payment_v9,-802,22404,157261
2024-04-03_v9,Salary Credit_v9,59,60388,217442
2024-04-05_v9,Grocery Store_v9,4128,-893,214532
2024-04-09_v9,Online Shopping_v9,9760,487,203502
2024-04-12_v9,Train Ticket_v9,3339,340,201960
2024-04-16_v9,Restaurant Dinner_v9,3037,-773,199545
2024-04-20_v9,Electricity Bill_v9,3226,282,195579
2024-04-25_v9,Freelance Payment_v9,967,25109,222067
2024-05-03_v9,Salary Credit_v9,493,60430,281891
2024-05-06_v9,Grocery Store_v9,3395,615,278040
2024-05-09_v9,Shopping Mall_v9,13457,-662,262862
2024-05-13_v9,Taxi Ride_v9,225,-119,262784
2024-05-18_v9,Restaurant Dinner_v9,2745,-300,259998
2024-05-22_v9,Internet Bill_v9,1592,738,258530
2024-05-28_v9,Freelance Payment_v9,-134,30562,288833
