date,description,debit,credit,balance
2024-02-03_v1,Salary Credit_v1,-72,54096,111726
2024-02-06_v1,Grocery Store_v1,4152,-731,109740
2024-02-09_v1,Online Shopping_v1,9075,34,100289
2024-02-12_v1,Flight Booking_v1,14195,-721,85651
2024-02-18_v1,Restaurant Dinner_v1,2545,916,83975
2024-02-22_v1,Internet Bill_v1,1593,-151,81520
2024-02-26_v1,Freelance Payment_v1,869,20927,101370
2024-03-03_v1,Salary Credit_v1,795,54889,156980
2024-03-05_v1,Grocery Store_v1,3496,-848,154718
2024-03-08_v1,Shopping Mall_v1,12677,738,140628
2024-03-11_v1,Taxi Ride_v1,761,500,139535
2024-03-15_v1,Restaurant Dinner_v1,3298,684,138483
2024-03-20_v1,Mobile Bill_v1,1064,-584,135676
2024-03-27_v1,Freelance Payment_v1,-531,22164,157659
2024-04-03_v1,Salary Credit_v1,478,60217,218767
2024-04-05_v1,Grocery Store_v1,4638,-394,214826
2024-04-09_v1,Online Shopping_v1,10212,596,204384
2024-04-12_v1,Train Ticket_v1,1949,-511,201670
2024-04-16_v1,Restaurant Dinner_v1,2415,-848,198033
2024-04-20_v1,Electricity Bill_v1,1563,362,195867
2024-04-25_v1,Freelance Payment_v1,-923,24883,222142
2024-05-03_v1,Salary Credit_v1,-288,59865,282303
2024-05-06_v1,Grocery Store_v1,3999,-870,277055
2024-05-09_v1,Shopping Mall_v1,14556,516,263705
2024-05-13_v1,Taxi Ride_v1,1167,756,262470
2024-05-18_v1,Restaurant Dinner_v1,2432,-385,258955
2024-05-22_v1,Internet Bill_v1,1966,890,258099
2024-05-28_v1,Freelance Payment_v1,572,29266,288571
2024-01-03_v2,Salary Credit_v2,-90,54451,55193
2024-01-05_v2,Grocery Store_v2,2341,-116,51632
2024-01-08_v2,Restaurant Dinner_v2,2036,346,50644
2024-01-10_v2,Uber Ride_v2,1602,-26,49285
2024-01-15_v2,Shopping Mall_v2,6011,326,41874
2024-01-20_v2,Electricity Bill_v2,2770,-616,40887
2024-01-25_v2,Freelance Payment_v2,741,17413,58752
2024-01-28_v2,Movie Tickets_v2,896,-937,57338
2024-02-03_v2,Salary Credit_v2,979,54843,111594
2024-02-06_v2,Grocery Store_v2,3311,571,109445
2024-02-09_v2,Online Shopping_v2,9460,-51,100944
2024-02-12_v2,Flight Booking_v2,14519,-523,85225
2024-02-18_v2,Restaurant Dinner_v2,2361,-455,83460
2024-02-22_v2,Internet Bill_v2,650,-358,82873
2024-02-26_v2,Freelance Payment_v2,-801,20492,103161
2024-03-03_v2,Salary Credit_v2,845,55619,157625
2024-03-05_v2,Grocery Store_v2,3949,72,153416
2024-03-08_v2,Shopping Mall_v2,11820,846,140585
2024-03-11_v2,Taxi Ride_v2,1169,312,139136
2024-03-15_v2,Restaurant Dinner_v2,2260,-747,136941
2024-03-20_v2,Mobile Bill_v2,521,-332,135789
2024-03-27_v2,Freelance Payment_v2,320,21055,158127
2024-04-03_v2,Salary Credit_v2,-923,59722,218505
2024-04-05_v2,Grocery Store_v2,3319,311,213828
2024-04-09_v2,Online Shopping_v2,9289,52,203794
2024-04-12_v2,Train Ticket_v2,2169,-778,202329
2024-04-16_v2,Restaurant Dinner_v2,3027,354,198140
2024-04-20_v2,Electricity Bill_v2,2785,160,195650
2024-04-25_v2,Freelance Payment_v2,448,24109,221290
2024-05-03_v2,Salary Credit_v2,486,60635,282374
2024-05-06_v2,Grocery Store_v2,4481,56,278589
2024-05-09_v2,Shopping Mall_v2,15079,544,262901
2024-05-13_v2,Taxi Ride_v2,756,620,262142
2024-05-18_v2,Restaurant Dinner_v2,3848,-27,260197
2024-05-22_v2,Internet Bill_v2,1658,-438,257279
2024-05-28_v2,Freelance Payment_v2,581,29591,288680
2024-01-03_v3,Salary Credit_v3,-834,54690,55433
2024-01-05_v3,Grocery Store_v3,2887,982,52645
2024-01-08_v3,Restaurant Dinner_v3,2055,324,50748
2024-01-10_v3,Uber Ride_v3,851,-383,48555
2024-01-15_v3,Shopping Mall_v3,5279,-818,42804
2024-01-20_v3,Electricity Bill_v3,2699,280,40731
2024-01-25_v3,Freelance Payment_v3,905,18366,58376
2024-01-28_v3,Movie Tickets_v3,1311,527,58324
2024-02-03_v3,Salary Credit_v3,-584,54784,113499
2024-02-06_v3,Grocery Store_v3,4234,299,109730
2024-02-09_v3,Online Shopping_v3,8614,801,100311
2024-02-12_v3,Flight Booking_v3,14206,-376,84900
2024-02-18_v3,Restaurant Dinner_v3,2952,-268,83025
2024-02-22_v3,Internet Bill_v3,1962,75,81788
2024-02-26_v3,Freelance Payment_v3,694,19879,102706
2024-03-03_v3,Salary Credit_v3,-343,54138,156874
2024-03-05_v3,Grocery Store_v3,2924,-877,153126
2024-03-08_v3,Shopping Mall_v3,12232,-676,141689
2024-03-11_v3,Taxi Ride_v3,1512,431,140996
2024-03-15_v3,Restaurant Dinner_v3,3024,294,138546
2024-03-20_v3,Mobile Bill_v3,706,727,136017
2024-03-27_v3,Freelance Payment_v3,-855,22557,157777
2024-04-03_v3,Salary Credit_v3,191,59174,217473
2024-04-05_v3,Grocery Store_v3,4287,404,213587
2024-04-09_v3,Online Shopping_v3,9065,155,204417
2024-04-12_v3,Train Ticket_v3,3492,-560,202034
2024-04-16_v3,Restaurant Dinner_v3,3386,880,198732
2024-04-20_v3,Electricity Bill_v3,3130,232,196356
2024-04-25_v3,Freelance Payment_v3,-319,25966,222177
2024-05-03_v3,Salary Credit_v3,-542,59566,281174
2024-05-06_v3,Grocery Store_v3,4641,-25,277927
2024-05-09_v3,Shopping Mall_v3,14550,-417,263287
2024-05-13_v3,Taxi Ride_v3,1789,532,263112
2024-05-18_v3,Restaurant Dinner_v3,3154,-474,258867
2024-05-22_v3,Internet Bill_v3,640,-283,257221
2024-05-28_v3,Freelance Payment_v3,72,29143,288484
2024-01-03_v4,Salary Credit_v4,-304,54249,54328
2024-01-05_v4,Grocery Store_v4,3165,514,51340
2024-01-08_v4,Restaurant Dinner_v4,2409,375,50666
2024-01-10_v4,Uber Ride_v4,1282,-435,49813
2024-01-15_v4,Shopping Mall_v4,5801,-95,42247
2024-01-20_v4,Electricity Bill_v4,1639,-319,41199
2024-01-25_v4,Freelance Payment_v4,-957,18465,58639
2024-01-28_v4,Movie Tickets_v4,1225,-144,57866
2024-02-03_v4,Salary Credit_v4,-662,54365,112290
2024-02-06_v4,Grocery Store_v4,3551,-242,109342
2024-02-09_v4,Online Shopping_v4,8506,757,100292
2024-02-12_v4,Flight Booking_v4,13910,-244,84975
2024-02-18_v4,Restaurant Dinner_v4,3076,740,83484
2024-02-22_v4,Internet Bill_v4,742,-150,81669
2024-02-26_v4,Freelance Payment_v4,-129,19362,101849
2024-03-03_v4,Salary Credit_v4,88,55931,157932
2024-03-05_v4,Grocery Store_v4,3774,-895,154134
2024-03-08_v4,Shopping Mall_v4,12010,-964,140567
2024-03-11_v4,Taxi Ride_v4,2144,136,140049
2024-03-15_v4,Restaurant Dinner_v4,3167,168,136662
2024-03-20_v4,Mobile Bill_v4,570,182,135561
2024-03-27_v4,Freelance Payment_v4,-348,22139,157407
2024-04-03_v4,Salary Credit_v4,319,59618,217564
2024-04-05_v4,Grocery Store_v4,3330,-788,214072
2024-04-09_v4,Online Shopping_v4,9707,977,205170
2024-04-12_v4,Train Ticket_v4,3575,-197,202292
2024-04-16_v4,Restaurant Dinner_v4,2900,449,198565
2024-04-20_v4,Electricity Bill_v4,1617,-663,197016
2024-04-25_v4,Freelance Payment_v4,-546,24770,222256
2024-05-03_v4,Salary Credit_v4,-219,59213,281344
2024-05-06_v4,Grocery Store_v4,4088,-907,276882
2024-05-09_v4,Shopping Mall_v4,14503,188,263367
2024-05-13_v4,Taxi Ride_v4,1530,-379,262944
2024-05-18_v4,Restaurant Dinner_v4,3374,326,260369
2024-05-22_v4,Internet Bill_v4,2058,-152,258474
2024-05-28_v4,Freelance Payment_v4,-524,29795,288623
2024-01-03_v5,Salary Credit_v5,1,54814,54312
2024-01-05_v5,Grocery Store_v5,3461,-481,51390
2024-01-08_v5,Restaurant Dinner_v5,1288,493,50879
2024-01-10_v5,Uber Ride_v5,1208,-728,48423
2024-01-15_v5,Shopping Mall_v5,7003,-257,42571
2024-01-20_v5,Electricity Bill_v5,3042,693,41680
2024-01-25_v5,Freelance Payment_v5,-482,17907,59486
2024-01-28_v5,Movie Tickets_v5,296,469,58390
2024-02-03_v5,Salary Credit_v5,678,55018,112051
2024-02-06_v5,Grocery Store_v5,2500,806,108937
2024-02-09_v5,Online Shopping_v5,8243,-640,100670
2024-02-12_v5,Flight Booking_v5,13703,566,84903
2024-02-18_v5,Restaurant Dinner_v5,3155,160,82883
2024-02-22_v5,Internet Bill_v5,1927,-832,82134
2024-02-26_v5,Freelance Payment_v5,-621,19944,102634
2024-03-03_v5,Salary Credit_v5,-456,55182,157236
2024-03-05_v5,Grocery Store_v5,4246,431,153417
2024-03-08_v5,Shopping Mall_v5,13283,-550,141296
2024-03-11_v5,Taxi Ride_v5,989,-268,139886
2024-03-15_v5,Restaurant Dinner_v5,2498,-296,138217
2024-03-20_v5,Mobile Bill_v5,2414,-257,136772
2024-03-27_v5,Freelance Payment_v5,-872,22164,158598
2024-04-03_v5,Salary Credit_v5,686,59657,218204
2024-04-05_v5,Grocery Store_v5,4221,-238,213794
2024-04-09_v5,Online Shopping_v5,10078,-583,203702
2024-04-12_v5,Train Ticket_v5,3500,-478,202438
2024-04-16_v5,Restaurant Dinner_v5,2614,52,199191
2024-04-20_v5,Electricity Bill_v5,2095,-29,196973
2024-04-25_v5,Freelance Payment_v5,-332,24901,220906
2024-05-03_v5,Salary Credit_v5,509,60873,281056
2024-05-06_v5,Grocery Store_v5,3464,-355,278516
2024-05-09_v5,Shopping Mall_v5,14838,-111,263358
2024-05-13_v5,Taxi Ride_v5,1622,-958,262264
2024-05-18_v5,Restaurant Dinner_v5,2634,622,259632
2024-05-22_v5,Internet Bill_v5,1801,972,259029
2024-05-28_v5,Freelance Payment_v5,-182,30849,288719
2024-01-03_v6,Salary Credit_v6,-856,54219,54988
2024-01-05_v6,Grocery Store_v6,4087,-499,51876
2024-01-08_v6,Restaurant Dinner_v6,2432,416,49394
2024-01-10_v6,Uber Ride_v6,906,-704,50002
2024-01-15_v6,Shopping Mall_v6,6651,-803,43688
2024-01-20_v6,Electricity Bill_v6,2872,-483,39813
2024-01-25_v6,Freelance Payment_v6,-713,17007,59409
2024-01-28_v6,Movie Tickets_v6,1971,486,58307
2024-02-03_v6,Salary Credit_v6,-389,54805,112208
2024-02-06_v6,Grocery Store_v6,3724,-127,109082
2024-02-09_v6,Online Shopping_v6,8692,-666,99407
2024-02-12_v6,Flight Booking_v6,14458,569,86278
2024-02-18_v6,Restaurant Dinner_v6,3071,-461,83613
2024-02-22_v6,Internet Bill_v6,1757,-309,82146
2024-02-26_v6,Freelance Payment_v6,-85,20101,102940
2024-03-03_v6,Salary Credit_v6,869,55054,156379
2024-03-05_v6,Grocery Store_v6,4169,-61,153957
2024-03-08_v6,Shopping Mall_v6,11404,-826,141733
2024-03-11_v6,Taxi Ride_v6,851,33,139396
2024-03-15_v6,Restaurant Dinner_v6,1624,-165,138497
2024-03-20_v6,Mobile Bill_v6,1591,795,136006
2024-03-27_v6,Freelance Payment_v6,186,21963,158948
2024-04-03_v6,Salary Credit_v6,-838,59822,218470
2024-04-05_v6,Grocery Store_v6,3142,377,214119
2024-04-09_v6,Online Shopping_v6,10470,983,203421
2024-04-12_v6,Train Ticket_v6,2522,251,202177
2024-04-16_v6,Restaurant Dinner_v6,3594,616,198753
2024-04-20_v6,Electricity Bill_v6,2362,308,196954
2024-04-25_v6,Freelance Payment_v6,-622,24677,221017
2024-05-03_v6,Salary Credit_v6,712,60472,280734
2024-05-06_v6,Grocery Store_v6,3022,445,278237
2024-05-09_v6,Shopping Mall_v6,14945,-11,263378
2024-05-13_v6,Taxi Ride_v6,1634,-598,262066
2024-05-18_v6,Restaurant Dinner_v6,3697,-666,260048
2024-05-22_v6,Internet Bill_v6,1930,383,258176
2024-05-28_v6,Freelance Payment_v6,254,29454,287229
2024-01-03_v7,Salary Credit_v7,632,55835,54014
2024-01-05_v7,Grocery Store_v7,2742,-853,51476
2024-01-08_v7,Restaurant Dinner_v7,1974,615,50050
2024-01-10_v7,Uber Ride_v7,211,-162,48978
2024-01-15_v7,Shopping Mall_v7,6699,-656,42747
2024-01-20_v7,Electricity Bill_v7,1195,18,41718
2024-01-25_v7,Freelance Payment_v7,385,17214,59118
2024-01-28_v7,Movie Tickets_v7,1630,547,57051
2024-02-03_v7,Salary Credit_v7,740,55253,112596
2024-02-06_v7,Grocery Store_v7,3540,473,109976
2024-02-09_v7,Online Shopping_v7,9289,-395,100112
2024-02-12_v7,Flight Booking_v7,14546,-729,85283
2024-02-18_v7,Restaurant Dinner_v7,2198,715,82746
2024-02-22_v7,Internet Bill_v7,602,878,82313
2024-02-26_v7,Freelance Payment_v7,-779,20581,103062
2024-03-03_v7,Salary Credit_v7,309,54371,157492
2024-03-05_v7,Grocery Store_v7,2618,471,153920
2024-03-08_v7,Shopping Mall_v7,11452,962,141727
2024-03-11_v7,Taxi Ride_v7,422,686,140725
2024-03-15_v7,Restaurant Dinner_v7,3067,133,137201
2024-03-20_v7,Mobile Bill_v7,1829,639,135427
2024-03-27_v7,Freelance Payment_v7,-262,22490,158510
2024-04-03_v7,Salary Credit_v7,491,59168,217894
2024-04-05_v7,Grocery Store_v7,3477,-316,213530
2024-04-09_v7,Online Shopping_v7,10357,936,203523
2024-04-12_v7,Train Ticket_v7,1973,-727,201766
2024-04-16_v7,Restaurant Dinner_v7,2447,-125,198963
2024-04-20_v7,Electricity Bill_v7,2247,-400,196102
2024-04-25_v7,Freelance Payment_v7,-658,25254,221325
2024-05-03_v7,Salary Credit_v7,-217,60920,281325
2024-05-06_v7,Grocery Store_v7,4123,-760,276896
2024-05-09_v7,Shopping Mall_v7,14912,377,263763
2024-05-13_v7,Taxi Ride_v7,512,106,262944
2024-05-18_v7,Restaurant Dinner_v7,3647,911,258713
2024-05-22_v7,Internet Bill_v7,1195,-33,257212
2024-05-28_v7,Freelance Payment_v7,21,29500,287182
